trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-60.22291662015314,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9990756424412622}",20,0,-83.47871161461252,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9990321561605888}",25,0,-88.58912162238485,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9989876708478425}",30,0,-190.67233275649068,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-144.34246957497524,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9988957033050712}",25,0,-45.44925238933742,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9988482211670138}",25,0,-63.935498626260404,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9987997401808185}",20,0,-205.61467482871592,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-23.689334062315435,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-129.2865323925299,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9986483046232089}",30,0,-174.93775963309642,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9985958287392593}",30,0,-179.55216365323392,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-187.72640034268096,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.9984878812375985}",25,0,-133.94396037113967,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9984324097278344}",30,0,-139.81562920180286,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,11,-5.149742604765493,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.9983184714677966}",20,0,-80.2538911773013,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9982600048314613}",25,0,-120.83563186035641,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-190.919100575615,"{0: 6, 1: 6, 2: 5, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9981400768384904}",25,0,-186.7574446017688,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
