trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.5, 'e': 0.9833021775801796}",20,0,-130.4746659680952,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.9831197056650174}",20,0,-91.61898689660076,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
185,False,"{'a': 0.5, 'e': 0.9829362506302315}",25,0,-214.98854281963463,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
186,False,"{'a': 0.5, 'e': 0.9827518126592768}",20,0,-28.38349314444697,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.9825663919365915}",20,0,-69.1331804800582,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
188,False,"{'a': 0.5, 'e': 0.9823799886475959}",30,0,-294.7317649779249,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 5}",0
189,False,"{'a': 0.5, 'e': 0.9821926029786937}",20,9,-20.459644453758862,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,0,-37.98523182399531,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.9818148852516937}",25,12,-46.85655597296563,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.9816245535713135}",30,0,-172.51088087710232,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
193,False,"{'a': 0.5, 'e': 0.9814332402664617}",20,0,-79.20308835374351,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.9812409455284513}",25,0,-126.55237447413684,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
195,False,"{'a': 0.5, 'e': 0.9810476695495772}",30,0,-172.02120828670542,"{0: 12, 1: 4, 2: 11, 3: 3, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.9808534125231153}",25,0,-183.0714872445571,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
197,False,"{'a': 0.5, 'e': 0.9806581746433227}",30,13,-158.28766815534192,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 3}",1
198,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,0,-100.00052344120476,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
199,False,"{'a': 0.5, 'e': 0.9802647571056771}",25,3,-145.1669152375374,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-128.9867977141221,"{0: 10, 1: 5, 2: 0, 3: 4, 4: 1}",0
201,False,"{'a': 0.5, 'e': 0.97986741851031}",30,0,-205.5993133310053,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
202,False,"{'a': 0.5, 'e': 0.9796672793120416}",20,0,-204.5209957958881,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
203,False,"{'a': 0.5, 'e': 0.9794661604465754}",20,0,-148.48992007633547,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
204,False,"{'a': 0.5, 'e': 0.9792640621150305}",35,6,-83.22234011001842,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.9790609845195051}",25,0,-147.75443277538997,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
206,False,"{'a': 0.5, 'e': 0.9788569278630767}",25,0,-141.3812558202835,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.978651892349802}",20,0,-15.15544620620009,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 0.9784458781847165}",25,0,-180.54108031594066,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
209,False,"{'a': 0.5, 'e': 0.9782388855738344}",25,0,-190.5008558242329,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
210,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-56.85077460807821,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
211,False,"{'a': 0.5, 'e': 0.9778219658436289}",20,0,-155.8396915582839,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
212,False,"{'a': 0.5, 'e': 0.9776120391412251}",20,0,-92.39879025348141,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.9774011348268636}",20,0,-145.37379055462205,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
214,False,"{'a': 0.5, 'e': 0.9771892531114489}",25,7,-104.8581462826842,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 1}",1
215,False,"{'a': 0.5, 'e': 0.9769763942068623}",20,0,-124.40030978126275,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
216,False,"{'a': 0.5, 'e': 0.9767625583259631}",20,0,-63.40270485384486,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
217,False,"{'a': 0.5, 'e': 0.976547745682587}",30,22,-7.813180948848639,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.9763319564915464}",20,0,-86.81330578850942,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.9761151909686308}",25,0,-71.02415135812114,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-232.25671218469265,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
221,False,"{'a': 0.5, 'e': 0.9756787317952123}",30,0,-80.31525965791504,"{0: 22, 1: 2, 2: 3, 3: 3, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.9754590385811684}",20,0,-53.17092934372944,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
223,False,"{'a': 0.5, 'e': 0.9752383699081674}",25,0,-99.80616473146338,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.9750167259968777}",25,0,-124.09653257410208,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-201.4718244698518,"{0: 8, 1: 2, 2: 4, 3: 4, 4: 2}",0
226,False,"{'a': 0.5, 'e': 0.974570513346983}",20,0,-64.71449544194358,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.9743459450545906}",20,8,-37.83930813191011,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.9741204024163344}",20,0,-130.7687789072095,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.9738938856577568}",25,2,-76.27309647863677,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-113.32631394917627,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
231,False,"{'a': 0.5, 'e': 0.9734379306866789}",30,0,-145.9318737288535,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
232,False,"{'a': 0.5, 'e': 0.9732084929301336}",20,0,-58.28429937511276,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.9729780819651762}",20,0,-53.537152094367116,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.9727466980222181}",30,0,-79.54580755327163,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.972514341332643}",20,13,5.570113151139461,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.9722810121288076}",20,0,-121.54613211276491,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.9720467106440411}",20,0,-82.98526174319449,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.971811437112645}",25,0,-168.99253215038377,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
239,False,"{'a': 0.5, 'e': 0.9715751917698927}",20,0,-125.1761009719431,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
240,False,"{'a': 0.5, 'e': 0.9713379748520297}",25,0,-104.15404824414865,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
241,False,"{'a': 0.5, 'e': 0.9710997865962726}",25,0,-198.12011282929768,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
242,False,"{'a': 0.5, 'e': 0.97086062724081}",30,0,-78.83219240625402,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
243,False,"{'a': 0.5, 'e': 0.970620497024801}",20,0,-177.81535542302734,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
244,False,"{'a': 0.5, 'e': 0.9703793961883759}",20,2,-74.73066978771874,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.9701373249726354}",25,0,-136.60802008756556,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.9698942836196508}",20,0,-21.64040162990258,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.9696502723724634}",20,0,-116.69679522759606,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
248,False,"{'a': 0.5, 'e': 0.9694052914750845}",25,0,-121.14786833439544,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
249,False,"{'a': 0.5, 'e': 0.9691593411724948}",20,0,-77.34029993220074,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
250,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-260.20417988592493,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
251,False,"{'a': 0.5, 'e': 0.9686645333364537}",35,0,-152.75109369117834,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
252,False,"{'a': 0.5, 'e': 0.9684156762978101}",30,0,-125.03737003604219,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
253,False,"{'a': 0.5, 'e': 0.9681658508435709}",20,0,-81.79520125145922,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
254,False,"{'a': 0.5, 'e': 0.9679150572235615}",25,0,-160.88184415268975,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
255,False,"{'a': 0.5, 'e': 0.9676632956885756}",25,0,-132.18490454121908,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
256,False,"{'a': 0.5, 'e': 0.9674105664903746}",20,0,-113.34733417463703,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.9671568698816877}",25,0,-64.90446041467192,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.9669022061162116}",25,0,-180.88411269118157,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
259,False,"{'a': 0.5, 'e': 0.9666465754486098}",20,14,6.903606215455522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-51.32234841979991,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
261,False,"{'a': 0.5, 'e': 0.966132414430519}",25,0,-146.37345242911383,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
262,False,"{'a': 0.5, 'e': 0.9658738845941909}",30,0,-87.11509202357678,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.9656143888840587}",30,0,-132.6877286544658,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
264,False,"{'a': 0.5, 'e': 0.965353927559618}",20,0,-143.46133787702635,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
265,False,"{'a': 0.5, 'e': 0.9650925008813303}",35,0,-167.21704125430372,"{0: 22, 1: 1, 2: 8, 3: 3, 4: 1}",0
266,False,"{'a': 0.5, 'e': 0.9648301091106221}",25,0,-169.77773194524005,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
267,False,"{'a': 0.5, 'e': 0.9645667525098851}",20,0,-256.0473230702712,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 6}",0
268,False,"{'a': 0.5, 'e': 0.9643024313424761}",35,0,-196.42710632931752,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
269,False,"{'a': 0.5, 'e': 0.964037145872716}",20,4,-103.19508115398662,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
270,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,6,-77.68448115385621,"{0: 5, 1: 3, 2: 5, 3: 1, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.9635036830882489}",25,0,-156.13929831403163,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
272,False,"{'a': 0.5, 'e': 0.9632355063070045}",20,0,-135.52010617355745,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.962966366290334}",25,0,-109.78547508551985,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
274,False,"{'a': 0.5, 'e': 0.9626962633073776}",20,0,-19.54338071381092,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.962425197628238}",20,0,-98.3942327350087,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
276,False,"{'a': 0.5, 'e': 0.9621531695239809}",30,0,-203.3473936039554,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
277,False,"{'a': 0.5, 'e': 0.9618801792666346}",25,0,-79.1386715760397,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.9616062271291891}",30,0,-166.76380009202524,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
279,False,"{'a': 0.5, 'e': 0.9613313133855966}",20,0,-109.5124754058988,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
280,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-102.255445266723,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.960778602180587}",20,0,-37.025012383585405,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
282,False,"{'a': 0.5, 'e': 0.9605008052718809}",20,0,-181.97522111118388,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
283,False,"{'a': 0.5, 'e': 0.9602220478624496}",20,0,-138.46972190416457,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
284,False,"{'a': 0.5, 'e': 0.9599423302310505}",20,0,-89.78463850585311,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
285,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,0,-97.62325416295329,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.959380015422179}",20,0,-120.57270098050266,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
287,False,"{'a': 0.5, 'e': 0.9590974188070215}",20,0,-151.92032501494234,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
288,False,"{'a': 0.5, 'e': 0.9588138630945251}",25,0,-168.69056584438425,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
289,False,"{'a': 0.5, 'e': 0.9585293485682455}",25,0,-131.95473653531067,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
290,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-70.02674346719101,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.9579574442133532}",20,0,-22.24678284754801,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.9576700549566448}",25,0,-22.627490441319885,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.9573817080299614}",20,0,-41.64630283388113,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
294,False,"{'a': 0.5, 'e': 0.9570924037216496}",20,0,-142.13578335795415,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
295,False,"{'a': 0.5, 'e': 0.9568021423210139}",25,0,-88.75672908586068,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",1
296,False,"{'a': 0.5, 'e': 0.9565109241183156}",30,0,-169.3088127522254,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
297,False,"{'a': 0.5, 'e': 0.9562187494047729}",20,0,-46.41938845278971,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.9559256184725605}",25,17,10.187840142039436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.9556315316148092}",30,0,-163.77065609328434,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
300,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-146.58133715292675,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
301,False,"{'a': 0.5, 'e': 0.9550404912999932}",30,0,-180.87372629049463,"{0: 18, 1: 4, 2: 2, 3: 4, 4: 2}",0
302,False,"{'a': 0.5, 'e': 0.9547435384339689}",20,0,-40.620959385030375,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.9544456308244855}",20,0,-85.79869576588905,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
304,False,"{'a': 0.5, 'e': 0.9541467687694509}",20,0,-100.49088173993124,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
305,False,"{'a': 0.5, 'e': 0.9538469525677271}",25,0,-242.66894443182105,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 5}",0
306,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-133.18964183547064,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
307,False,"{'a': 0.5, 'e': 0.9532444589244301}",30,0,-79.4004538797886,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
308,False,"{'a': 0.5, 'e': 0.9529417820853506}",30,0,-100.48548235153764,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
309,False,"{'a': 0.5, 'e': 0.9526381523045685}",20,0,-77.70867575450464,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
310,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-96.89274770621245,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.9520280351333678}",25,7,-89.07789215850929,"{0: 7, 1: 6, 2: 3, 3: 2, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.9517215483530664}",20,0,-156.27811094752064,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
313,False,"{'a': 0.5, 'e': 0.9514141098512959}",25,0,-53.24678358501728,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
314,False,"{'a': 0.5, 'e': 0.951105719935495}",25,0,-107.74872127478903,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
315,False,"{'a': 0.5, 'e': 0.9507963789140532}",20,0,-130.61286336028715,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
316,False,"{'a': 0.5, 'e': 0.9504860870963119}",25,0,-184.74713798960937,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
317,False,"{'a': 0.5, 'e': 0.9501748447925626}",30,0,-132.40511691190665,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
318,False,"{'a': 0.5, 'e': 0.9498626523140478}",25,0,-88.98463942165478,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
319,False,"{'a': 0.5, 'e': 0.9495495099729597}",20,0,-72.94163446359505,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
320,False,"{'a': 0.5, 'e': 0.9492354180824408}",30,13,-80.09075046512358,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
321,False,"{'a': 0.5, 'e': 0.948920376956583}",30,0,-173.5544491131431,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
322,False,"{'a': 0.5, 'e': 0.9486043869104273}",20,0,-153.94812441286743,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
323,False,"{'a': 0.5, 'e': 0.9482874482599637}",20,11,-8.159594810807612,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.9479695613221308}",20,0,-137.4130523958676,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
325,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,9,-46.958755696640026,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
326,False,"{'a': 0.5, 'e': 0.9473309438568531}",30,0,-114.1700479394162,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
327,False,"{'a': 0.5, 'e': 0.9470102139680256}",35,0,-137.00464456041803,"{0: 21, 1: 2, 2: 9, 3: 3, 4: 0}",0
328,False,"{'a': 0.5, 'e': 0.9466885370690631}",20,0,-117.15424151956519,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
329,False,"{'a': 0.5, 'e': 0.9463659134816423}",35,0,-105.84166400396728,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
330,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-136.81689008934356,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
331,False,"{'a': 0.5, 'e': 0.9457178275328669}",20,0,-128.86201507245767,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
332,False,"{'a': 0.5, 'e': 0.9453923658195982}",20,0,-126.14092691102553,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
333,False,"{'a': 0.5, 'e': 0.9450659587140423}",20,0,-19.13977216824993,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
334,False,"{'a': 0.5, 'e': 0.9447386065426066}",20,0,-69.26534833246085,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
335,False,"{'a': 0.5, 'e': 0.944410309632643}",20,5,-74.91006605822835,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
336,False,"{'a': 0.5, 'e': 0.9440810683124485}",30,20,-1.4783054845804697,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.9437508829112643}",25,0,-100.18007842927389,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
338,False,"{'a': 0.5, 'e': 0.9434197537592759}",20,0,-70.36141235231736,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
339,False,"{'a': 0.5, 'e': 0.9430876811876123}",20,0,-197.44161144718015,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
340,False,"{'a': 0.5, 'e': 0.9427546655283462}",35,0,-213.72865083704974,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",0
341,False,"{'a': 0.5, 'e': 0.9424207071144931}",20,0,-100.96554170078451,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
342,False,"{'a': 0.5, 'e': 0.9420858062800114}",20,0,-99.29889533453893,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
343,False,"{'a': 0.5, 'e': 0.9417499633598019}",20,11,-27.994269950184606,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'a': 0.5, 'e': 0.9414131786897075}",30,0,-162.04560501389264,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
345,False,"{'a': 0.5, 'e': 0.941075452606513}",25,0,-133.4157183213676,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
346,False,"{'a': 0.5, 'e': 0.9407367854479443}",20,0,-27.626200372512162,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
347,False,"{'a': 0.5, 'e': 0.9403971775526684}",35,0,-115.98200521905433,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
348,False,"{'a': 0.5, 'e': 0.9400566292602934}",30,12,-132.21820271661315,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
349,False,"{'a': 0.5, 'e': 0.9397151409113674}",25,0,-126.48928114335331,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
350,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,3,-38.24522983794599,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.9390293454107558}",20,3,-83.44904936379547,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
352,False,"{'a': 0.5, 'e': 0.9386850389448655}",20,0,-57.331048495287746,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
353,False,"{'a': 0.5, 'e': 0.9383397937940146}",25,0,-125.49446867931043,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
354,False,"{'a': 0.5, 'e': 0.937993610303448}",25,0,-196.67706676122063,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
355,False,"{'a': 0.5, 'e': 0.9376464888193493}",20,0,-85.37771256276145,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
356,False,"{'a': 0.5, 'e': 0.9372984296888399}",20,0,-135.730220889843,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
357,False,"{'a': 0.5, 'e': 0.9369494332599789}",25,0,-73.74442587685172,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
358,False,"{'a': 0.5, 'e': 0.9365994998817627}",25,0,-59.74581849220505,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
359,False,"{'a': 0.5, 'e': 0.9362486299041247}",25,2,-85.57538814750382,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 1}",1
360,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,3,-202.90167222915463,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 4}",1
361,False,"{'a': 0.5, 'e': 0.9355440815549994}",30,0,-93.71139473786266,"{0: 21, 1: 6, 2: 1, 3: 0, 4: 2}",0
362,False,"{'a': 0.5, 'e': 0.9351904038880602}",30,0,-142.97319920894208,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
363,False,"{'a': 0.5, 'e': 0.9348357910307951}",35,0,-174.28803142147484,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
364,False,"{'a': 0.5, 'e': 0.9344802433378168}",20,7,-66.0635979776761,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
365,False,"{'a': 0.5, 'e': 0.9341237611646731}",20,0,-73.8017927701769,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
366,False,"{'a': 0.5, 'e': 0.933766344867846}",30,0,-178.2749950203849,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
